Designator,Mid X,Mid Y,Layer,Rotation
C1,156.4013,-101.1287,Bottom,350.0000
C2,153.1087,-105.7084,Bottom,298.5714
C3,147.4752,-105.9896,Bottom,247.1429
C4,143.7429,-101.7605,Bottom,195.7143
C5,144.7224,-96.2057,Bottom,144.2857
C6,130.0000,-93.5000,Bottom,0.0000
C7,124.0000,-98.5000,Bottom,0.0000
C8,170.0000,-93.0000,Bottom,0.0000
C9,175.5000,-107.0000,Bottom,0.0000
C10,156.0000,-118.5000,Bottom,0.0000
C11,144.0000,-75.5000,Bottom,0.0000
C12,166.0000,-89.5000,Bottom,0.0000
C13,134.0000,-89.5000,Bottom,0.0000
C14,175.5000,-89.0000,Bottom,0.0000
C15,144.0000,-81.5000,Bottom,0.0000
C16,144.0000,-78.5000,Bottom,0.0000
C17,144.0000,-118.5000,Bottom,0.0000
C18,156.0000,-121.5000,Bottom,0.0000
C19,156.0000,-75.5000,Bottom,0.0000
C20,149.6760,-93.5081,Bottom,92.8571
C21,154.8736,-95.6990,Bottom,41.4286
F1,150.0000,-74.5000,Bottom,270.0000
FB1,156.7510,-94.0482,Bottom,41.4000
FB2,175.5000,-93.0000,Bottom,0.0000
J1,180.0000,-100.0000,Bottom,270.0000
R1,160.6246,-104.4009,Bottom,337.5000
R2,154.4009,-110.6246,Bottom,292.5000
R3,150.0000,-111.5000,Bottom,270.0000
R4,145.5991,-110.6246,Bottom,247.5000
R5,161.5000,-100.0000,Bottom,0.0000
R6,158.1317,-108.1317,Bottom,315.0000
R7,141.8683,-108.1317,Bottom,225.0000
R8,139.3754,-104.4009,Bottom,202.5000
R9,160.6246,-95.5991,Bottom,22.5000
R10,154.4009,-89.3754,Bottom,67.5000
R11,139.3754,-95.5991,Bottom,157.5000
R12,138.5000,-100.0000,Bottom,180.0000
R13,158.1317,-91.8683,Bottom,45.0000
R14,150.0000,-88.5000,Bottom,90.0000
R15,145.5991,-89.3754,Bottom,112.5000
R16,141.8683,-91.8683,Bottom,135.0000
R17,137.0000,-114.5000,Bottom,0.0000
R18,133.5000,-114.5000,Bottom,0.0000
R19,130.0000,-106.5000,Bottom,0.0000
R20,170.0000,-107.0000,Bottom,0.0000
R21,124.0000,-102.5000,Bottom,0.0000
R22,134.0000,-110.5000,Bottom,0.0000
R23,175.5000,-111.0000,Bottom,0.0000
R24,175.5000,-114.0000,Bottom,0.0000
R25,156.0000,-81.5000,Bottom,0.0000
R26,156.0000,-78.5000,Bottom,0.0000
R27,149.5447,-91.0115,Bottom,92.9000
R28,166.0000,-110.5000,Bottom,0.0000
R29,124.5000,-106.5000,Bottom,0.0000
R30,124.5000,-109.5000,Bottom,0.0000
U1,150.0000,-100.0000,Bottom,0.0000
U2,170.0000,-100.0000,Bottom,0.0000
U3,130.0000,-100.0000,Bottom,0.0000
U4,150.0000,-80.0000,Bottom,0.0000
U5,150.0000,-120.0000,Bottom,0.0000
X1,124.0000,-93.5000,Bottom,0.0000
D1,136.5000,-86.5000,Top,0.0000
D2,145.5000,-86.5000,Top,0.0000
D3,154.5000,-86.5000,Top,0.0000
D4,163.5000,-86.5000,Top,0.0000
D5,136.5000,-95.5000,Top,0.0000
D6,145.5000,-95.5000,Top,0.0000
D7,154.5000,-95.5000,Top,0.0000
D8,163.5000,-95.5000,Top,0.0000
D9,136.5000,-104.5000,Top,0.0000
D10,145.5000,-104.5000,Top,0.0000
D11,154.5000,-104.5000,Top,0.0000
D12,163.5000,-104.5000,Top,0.0000
D13,136.5000,-113.5000,Top,0.0000
D14,145.5000,-113.5000,Top,0.0000
D15,154.5000,-113.5000,Top,0.0000
D16,163.5000,-113.5000,Top,0.0000
D17,150.0000,-121.0000,Top,0.0000
SW1,150.0000,-79.0000,Top,0.0000
